Habitat	motility	spore production	Genus name	species name	strain name
plant endophyte	__motile, but unspecified structure__	no	Pantoea	eucalypti	R-25678T
plant endophyte	__motile, but unspecified structure__	no	Pantoea	anthophila	LMG2558T
plant endophyte	__motile, but unspecified structure__	no	Pantoea	deleyi	R-31523T 
plant endophyte	__motile, but unspecified structure__	no	Pantoea	vagans	R-21566T
other	flagella	not indicated	Massilia	aerilata	5516S-11
soil	non-motile	yes	Saccharopolyspora	antimicrobia	I05-00074
other		not indicated	Maritalea	myrionectae	CL-SK30T
seawater	flagella	no	Salinisphaera 	Salinisphaera dokdonensis	CL-ES53
seawater	flagella	no	Salinisphaera	dokdonensis	CL-ES53
seawater	non-motile	not indicated	Spongiibacter	tropicus	CL-CB221T
seawater	non-motile	yes	Gracilimonas	tropica	CL-CB462T
other	non-motile	not indicated	Rhodocytophaga	aerolata	5416T-29
other	non-motile	yes	Saccharopolyspora 	Saccharopolyspora gloriosae	YIM 60513
plant associated	non-motile	yes	Saccharopolyspora	gloriosae	YIM 60513
plant associated	not indicated	no	Micrococcus	endophyticus	YIM 56238T
plant associated	not indicated	no	Micrococcus	endophyticus	YIM 56238T
other	non-motile	yes	Nocardia	altamirensis	OFN S17
seawater	non-motile	not indicated	Balneola	alkaliphila	CM41_14b
seawater	__motile, but unspecified structure__	not indicated	Thalassobaculum	salexigens	CZ41_10a
other	__motile, but unspecified structure__		Thalassobaculum 	Thalassobaculum salexigens	CZ41_10a
other	non-motile	no	Sphingobium 	Sphingobium scionense	WP01
soil	non-motile	no	Sphingobium	scionense	WP01
__freshwater (river, lake, pond)__	not indicated	yes	Ambrosiozyma	oregonensis	NRRL Y-6106
other	flagella	yes	Cohnella	phaseoli	GSPC1
soil	not indicated	not indicated	Thalassospira	xianhensis	P-4
seawater	non-motile	no	Bizionia	argentinensis	JUB59
soil	non-motile	no	Polaromonas	jejuensis	JS12-13
other	non-motile	no	Pedobacter	nyackensis	NWG-II14T
soil	non-motile	no	Pedobacter	borealis	G-1T
other	non-motile	no	Pedobacter	alluvionis	NWER-II11T
__freshwater sediment (river, lake, pond__	__motile, but unspecified structure__	not indicated	Burkholderia	sediminicola	HU2-65W
other	non-motile	no	Flavobacterium	tiangeerense	0563T
other	flagella	no	Planomicrobium	glaciei	0423T
other	flagella	no	Serratia	nematodiphila	DZ0503SBS1T
bioreactor	flagella	yes	Clostridium	amylolyticum	SW408
soil	flagella	yes	Bacillus	solisalsi	YC1T
soil	gliding	no	Flavobacterium	anhuiense	D3
soil	flagella	yes	Saccharibacillus	kuerlensis	HR1T
soil	non-motile	no	Pseudomonas	duriflava	HR2
soil	non-motile	no	Sphingobacterium	siyangense	SY1
hypersaline environment	flagella	no	Marinobacter	lacisalsi	FP2.5T
other	flagella	no	Rhizobium	oryzae	505
soil	__motile, but unspecified structure__	no	Rhizobium	alkalisoli	CCBAU 01393T
plant associated	not indicated	no	Mesorhizobium	shangrilense	CCBAU 65327T
other	non-motile	yes	Lactobacillus	hordei	UCC128
soil	__motile, but unspecified structure__	not indicated	Sphingopyxis	panaciterrulae	DCY34
other	not indicated	yes	Paenibacillus 	konsidensis	LBY
marine sediment	flagella	no	Vibrio	hangzhouensis	CN83T
soil	non-motile	no	Halomonas	korlensis	XK1
other	not indicated	not indicated	Borrelia	carolinensis	SCW-22T
other	flagella	not indicated	Aeromonas	aquariorum	MDC47
other	non-motile	no	Veillonella	magna	lac18
other	flagella	yes	Paenibacillus	castaneae	Ch-32
marine sediment	non-motile	not indicated	Stakelama	sediminis	CJ70
soil	non-motile	no	Mucilaginibacter	oryzae	B9T
__freshwater sediment (river, lake, pond__	non-motile	not indicated	Flavobacterium	fluvii	H7
other	non-motile		Flavobacterium 	Flavobacterium fluvii	H7
soil	non-motile	no	Pedobacter	oryzae	N7T
__freshwater (river, lake, pond)__	flagella	not indicated	Chromobacterium	aquaticum	CC-SEYA-1
other	non-motile	not indicated	Bartonella	rattaustraliani	AUST/NH4T 
other	non-motile	not indicated	Bartonella	queenslandensis	AUST/NH12T
other	non-motile	not indicated	Bartonella	coopersplainsensis	AUST/NH20T
other	non-motile	no	Prevotella	histicola	T05-04
other	non-motile	no	Prevotella	histicola	T05-04
other	non-motile	no	Bifidobacterium	bombi	BluCI/TPT
soil	non-motile	no	Salinimicrobium	terrae	YIM-C338
other	flagella	yes	Gracilibacillus	halophilus	YIM-C55.5
hypersaline environment	non-motile	no	Psychroflexus	sediminis	YIM-C238T
__freshwater sediment (river, lake, pond__	flagella	yes	Paraliobacillus	quinghaiensis	YIM-C158T
other	not indicated	no	Photorhabdus	temperata	3107
soil	non-motile	yes	Alicyclobacillus 	ferrooxydans	TC-34
marine sediment	non-motile	not indicated	Nitratireductor	basaltis	J3T
other	flagella	not indicated	Pseudomonas	sabiulinigiri	J64T
other	flagella	not indicated	Brevundimonas	basaltis	J22
other	flagella	no	Marinomonas	basaltis	J63
marine sediment	non-motile	not indicated	Nocardioides	basaltis	J112T
soil	flagella	not indicated	Bacillus	alkalidiazotrophicus	MS 6
other	non-motile	no	Muricauda	lutimaris	SMK-108
marine sediment	flagella	not indicated	Roseovarius	aestuarii	SMK-122
marine sediment	flagella	not indicated	Jannaschia	seohaensis	SMK-146
other	flagella		Jannaschia	Jannaschia seohaensis	SMK-146
bioreactor	non-motile	no	Hydrogenoanaerobacterium	saccharovorans	SW512T
other	__motile, but unspecified structure__	no	Halomonas	beimenensis	NTU-107
__freshwater (river, lake, pond)__	non-motile	no	Algoriphagus	Aquaeductus	T4
seawater	non-motile	not indicated	Haliea	rubra	CM41_15aT
soil	flagella	no	Marinobacter	szutsaonensis	NTU-104T
other	flagella	no	Thiohalospira	alkaliphila	Algr 6sp
plant associated	__motile, but unspecified structure__	no	Mesorhizobium	alhagi	CCNWXJ12-2
NA	not indicated	yes	Streptomyces	angustmyceticus	DSM 41683
soil	not indicated	yes	Streptomyces	ascomycinicus	DSM 40822
soil	not indicated	yes	Streptomyces	aldersoniae	DSM 41909
NA	not indicated	yes	Streptomyces	wellingtoniae	DSM 40632
NA	not indicated	yes	Streptomyces	milbemycinicus	DSM 41911
soil	not indicated	yes	Streptomyces	decoyicus	DSM 41427
soil	__motile, but unspecified structure__	yes	Paenibacillus	taichungensis	V10537
wastewater	flagella	no	Geoalkalibacter	subterraneus	Red1T
seawater	flagella	no	Glaciecola	lipolytica	E3T
NA	not indicated	not indicated	Aliiglaciecola	lipolytica	E3
seawater	__motile, but unspecified structure__	no	Lishizhenia	tianjinensis	H6T
__freshwater (river, lake, pond)__	flagella	no	Rheinheimera	longhuensis	LH2-2
other	flagella		Marinomonas 	Marinomonas balearica	IVIA-Po-185
other	flagella		Marinomonas	Marinomonas pollencensis	IVIA-Po-185
other	flagella	not indicated	Marinomonas	pollencensis	IVIA-Po-185
other	flagella		Marinomonas	Marinomonas balearica	IVIA-Po-101
other	flagella	not indicated	Marinomonas	balearica	IVIA-Po-101
food product	not indicated	no	Yarrowia	divulgata	F6-17
plant associated	__motile, but unspecified structure__	no	Methylophilus	rhizosphaerae	CBMB127T
soil	__motile, but unspecified structure__	yes	Bacillus	methylotrophicus	CBMB205
other	not indicated	yes	Micromonospora	Micromonospora tulbaghiae	TVU1
plant associated	not indicated	yes	Micromonospora	tulbaghiae	TVU1
other	not indicated	no	Streptomyces	hypolithicus	HSM__10T
plant associated	not indicated	yes	Glycomyces	endophyticus	YIM 56134
plant associated	not indicated	not indicated	Glycomyces	scopariae	YIM 56256T
plant associated	not indicated	not indicated	Glycomyces	scopariae	YIM 56256T
other	not indicated	yes	Streptomyces	Streptomyces artemisiae	YIM 63135
other	not indicated	yes	Streptomyces	artemisiae	YIM 63135
soil		yes	Virgibacillus	soli	Virgibacillus soli
soil	__motile, but unspecified structure__	yes	Virgibacillus	soli	CC-YMP-6
soil	__motile, but unspecified structure__	yes	Virgibacillus	soli	CC-YMP-6T 
other	__motile, but unspecified structure__	no	Halomonas	ilicicola	SP8T
plant associated	__motile, but unspecified structure__	not indicated	Burkholderia	rhynchosiae	WSM3937
seawater	non-motile	not indicated	Seohaeicola	saemankumensis	SD-15T
soil	gliding		Lysobacter	ximonensi	XM415T
soil	non-motile	no	Microbacterium	insulae	 DS-66T
other	non-motile	no	Aestuariicola 	saemankumensis	SMK-142
other	not indicated	not indicated	Mycobacterium	noviomagense	NLA000500338T
other	non-motile	no	Nosocomiicoccus	ampullae	TRF-1
seawater	gliding	no	Kriegella	aquimaris	KMM 3665
marine sediment	gliding		Maribacter 	Maribacter stanieri	KMM 6046
other	gliding	not indicated	Maribacter	stanieri	KMM 6046
hotspring	non-motile	no	Thermus 	Thermus arciformis	TH92
hotspring	not indicated	no	Thermus	arciformis	TH92
hotspring	non-motile	no	Meiothermus	cateniformans	LY1
other	not indicated	yes	Thermobifida 	halotolerans	YIM 90462
seawater	flagella	no	Zhangella	mobilis	E6T
other	__motile, but unspecified structure__	yes	Paenibacillus 	Paenibacillus riograndensis	SBR5
plant associated	__motile, but unspecified structure__	yes	Paenibacillus	riograndensis	SBR5
human - mouth	not indicated	not indicated	Mycobacterium	marseillense	5356591T 
human - mouth	not indicated	not indicated	Mycobacterium	riyadhense	NLA000201958T
other	non-motile		Thermococcoides 	Thermococcoides shengliensis	2SM-2
other	non-motile	not indicated	Thermococcoides	shengliensis	2SM-2
other	flagella	no	Pseudomonas	xinjiangensis	S3-3T
seawater	non-motile	no	Kocuria	gwangalliensis	SJ2T
hotspring	non-motile	yes	Lutaonella	thermophila	CC-MHSW-2T 
other	flagella	no	Andreprevotia	lacus	GFC-1T
__freshwater (river, lake, pond)__	flagella	no	Vogesella	lacus	GR13T
other	__motile, but unspecified structure__	no	Rhizobium	tubonense	CCBAU 85046T
wastewater	non-motile	no	Catellibacterium	nanjingense	Y12
wastewater	non-motile	no	Gemmobacter	fontiphilus	JS43
plant associated	non-motile	not indicated	Aequorivita	capsosiphonis	A71T
seawater	__motile, but unspecified structure__	not indicated	Shewanella	marina	C4T
other	non-motile	yes	Roseomonas	frigidaquae	CW67T 
other	non-motile	no	Maritimimonas	rapanae	A31T
marine sediment	flagella	no	Marinobacter	mobilis	CN46
marine sediment	__motile, but unspecified structure__	no	Marinobacter	zhejiangensis	CN74
seawater	non-motile	no	Luteimonas	marina	FR1330
bioreactor	non-motile	no	Citricoccus	Citricoccus zhacaiensis	FS24
bioreactor	non-motile	no	Citricoccus	zhacaiensis	FS24
human - mouth	non-motile	not indicated	Pyramidobacter	piscolens	W5455T
__freshwater (river, lake, pond)__	non-motile	no	Algoriphagus	aquatilis	A8-7T
__freshwater (river, lake, pond)__	flagella	no	Hydrocarboniphaga	daqingensis	Hydrocarboniphaga daqingensis
__freshwater (river, lake, pond)__	flagella	no	Hydrocarboniphaga	daqingensis	B2-9T
__freshwater (river, lake, pond)__	flagella	no	Catellibacterium	aquatile	A1-9
__freshwater (river, lake, pond)__	flagella	no	Gemmobacter	aquaticus	A1-9
__freshwater (river, lake, pond)__	flagella	no	Gemmobacter	aquaticus	A1-9
other	non-motile	no	Flavobacterium	caeni	LM5
other	non-motile	no	Flavobacterium 	Flavobacterium caeni	LM5
soil	non-motile	no	Hymenobacter	deserti	ZLB-3T 
marine sediment	non-motile	not indicated	Amycolatopsis	marina	Ms392AT
other	non-motile	not indicated	Chelonobacter	oris	1662T
soil	non-motile	no	Phycicoccus	ginsenosidimutans	BXN5-13T
soil	non-motile	no	Rhodanobacter	ginsenosidimutans	3054T
__freshwater (river, lake, pond)__	non-motile	no	Chryseobacterium	hispalense	AG13
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	no	Novosphingobium	acidiphilum	FSW06-204dT
marine sediment	non-motile	not indicated	Lutimaribacter	saemankumensis	SMK-117T
other	non-motile	no	Rubellimicrobium	aerolatum	5715S-9T
hypersaline environment	non-motile	no	Natronovirga	wadinatrunensis	JW/NM-WN-LUT
hypersaline environment	non-motile	no	Natronovirga	wadinatrunensis	JW/NM-WN-LH1T
hypersaline environment	non-motile	no	Natranaerobius	trueperi	JW/NM-WN-LUT
marine sediment	flagella	not indicated	Thalassobacter	arenae	GA2-M15T
soil	flagella	not indicated	Diaphorobacter	oryzae	RF3T
other	non-motile	no	Tatumella	morbirosei	LMG 23360
other	non-motile	no	Megamonas	rupellensis	FM1025
hotspring	flagella	no	Parvularcula	lutaonensis	CC-MMS-1T
wastewater	non-motile	not indicated	Leucobacter	chironomi	MM2LBT
other	non-motile	not indicated	Brachymonas	chironomi	AIMA4T
other	non-motile		Chryseobacterium 	Chryseobacterium humi	ECP37
other	non-motile	not indicated	Chryseobacterium	humi	ECP37
other	non-motile		Chryseobacterium 	Chryseobacterium palustre	3A10
other	non-motile	not indicated	Chryseobacterium	palustre	 3A10
soil	non-motile	no	Sphingobacterium	anhuiense	CW 186
soil	flagella	yes	Bacillus	pallidus	CW 7
marine sediment	non-motile	not indicated	Microbulbifer	donghaiensis	CN85T
soil	non-motile		Sinomonas	flava	CW108T
soil	non-motile	no	Spirosoma	panaciterrae	1519T
__freshwater sediment (river, lake, pond__	non-motile	no	Hymenobacter	daecheongensis	Dae14T
__freshwater sediment (river, lake, pond__	non-motile	no	Hymenobacter	daecheongensis	Dae14T
estuarine sediment	__motile, but unspecified structure__	yes	Brevibacillus	fluminis	CJ71
hypersaline environment	flagella	no	Marinospirillum	celere	v1c_Sn-redT
other	non-motile	no	Dietzia	schimae	YIM 65001
other	non-motile	no	Dietzia	cercidiphylli	YIM 65002
plant associated	non-motile	no	Arenimonas	oryziterrae	YC6267T
soil	non-motile	no	Lysobacter	oryzae	YC6269T
human - fecal	non-motile	no	Slackia	equolifaciens	DZE
other	non-motile	no	Slackia	equolifaciens	DZE
wastewater	__motile, but unspecified structure__	no	Exiguobacterium	alkaliphilum	12-Jan
soil	__motile, but unspecified structure__	yes	Brevibacillus	panacihumi	DCY35T
plant associated	__motile, but unspecified structure__	yes	Paenibacillus	pueri	b09i-3T
plant associated	__motile, but unspecified structure__	yes	Paenibacillus	pueri	b09i-3T
other	__motile, but unspecified structure__	yes	Paenibacillus 	pectinilyticus	RCB-08T
plant associated	non-motile	yes	Streptomyces	avicenniae	MCCC 1A01535T
marine sediment	flagella	not indicated	Marinobacterium	maritimum	AR11T
NA	non-motile	no	Beijerinckia	doebereinerae	LMG 2819T
other	flagella	no	Deferribacter	autotrophicus	SL50T
other	flagella	no	Caloramator	australicus	 RC3T
other	non-motile	no	Butyricicoccus	pullicaecorum	25-Mar
soil	not indicated	yes	Nocardiopsis	sinuspersici	HM6
human - skin		no	Porphyromonas	bennonis	WAL 1926CT
human - skin	not indicated	no	Porphyromonas	bennonis	WAL 1926CT
__freshwater (river, lake, pond)__	non-motile	no	Flectobacillus	roseus	GFA-11T
other	non-motile		Actinophytocola	Actinophytocola oryzae	GMKU 367
plant associated	non-motile	yes	Actinophytocola	oryzae	GMKU 367
plant endophyte	not indicated	yes	Actinoallomurus	oryzae	GMKU370T
wastewater	__motile, but unspecified structure__	no	Flavobacterium	sasangense	YC6274T
seawater	non-motile	no	Pseudidiomarina	marina	PIM1T
hypersaline environment	not indicated	not indicated	Salisaeta	longa	S4-4T
__freshwater (river, lake, pond)__	not indicated	yes	Verrucosispora	qiuiae	RtIII47
other	non-motile	no	Gemella	Gemella asaccharolytica	WAL 1945J
other	non-motile	not indicated	Gemella	asacchariolytica	WAL 1945J
other	non-motile	no	Deinococcus	gobiensis	I-0T
seawater	non-motile	not indicated	Erythrobacter	gangjinensis	K7-2
seawater	not indicated	not indicated	Erythrobacter	gangjinensis	K7-2
other	gliding	not indicated	Tenacibaculum	crassostreae	JO-1T
other	non-motile	yes	Actinoallomurus	Actinoallomurus acaciae	GMKU 931
plant associated	not indicated	yes	Actinoallomurus	acaciae	GMKU 931
seawater	non-motile	not indicated	Roseovarius	halotolerans	HJ50T
seawater	non-motile	no	Alcanivorax	hongdengensis	A-11-3T
plant associated	flagella	not indicated	Geodermatophilus	ruber	Geodermatophilus ruber
soil	flagella	not indicated	Geodermatophilus	ruber	CPCC 201356
soil	flagella	not indicated	Geodermatophilus	ruber	CPCC 201356T
soil	not indicated		Alloactinosynnema 	Alloactinosynnema album	Mar-39
soil	not indicated	yes	Alloactinosynnema	album	Mar-39
soil	not indicated		Actinopolymorpha	Actinopolymorpha cephalotaxi	106-2230
soil	not indicated	not indicated	Actinopolymorpha	cephalotaxi	I06- 2230
soil	non-motile	yes	sinosporangium	album	6014T
other	flagella	no	Weissella	beninensis	2L24P13
marine sediment	flagella	not indicated	Bowmanella	pacifica	W3-3AT
hypersaline environment	non-motile	yes	Streptomonospora	amylolytica	YIM 91353T
soil	non-motile	yes	Streptomonospora	flavalba	YIM 91394T
seawater	non-motile	no	Jejuia	pallidilutea	EM39T
seawater	gliding	not indicated	Cellulophaga	tyrosinoxydans	EM41T
seawater	non-motile	no	Muriicola	jejuensis	EM44
__freshwater (river, lake, pond)__	flagella	no	Thermotalea	metallivorans	B2-1T
__freshwater (river, lake, pond)__	flagella	no	Fervidicola	ferrireducens	Y170T
__freshwater (river, lake, pond)__	flagella	no	Thermovenabulum	gondwanense	R270
other	flagella	no	Thermovenabulum 	Thermovenabulum gondwanense	R270
other	flagella	no	Spirochaeta	cellobiosiphila	SIP1
human - skin	non-motile	no	Helcobacillus	massiliensis	6401990T
other	non-motile		Murdochiella 	Murdochiella asaccharolytica	WAL 1855C
other	non-motile	not indicated	Murdochiella	asaccharolytica	WAL 1855C
other	non-motile	no	Brevibacterium 	Brevibacterium pityocampae	Tp12
other	non-motile	no	Brevibacterium	pityocampae	Tp12
other	non-motile	no	Actinomyces	timonensis	7400942
other	non-motile	no	Actinomyces	timonensis	7400942
other	not indicated	no	Actinomyces	timonensis	7400942
other	non-motile	yes	Nocardia	mikamii	W8061
food product	non-motile	no	Lactobacillus	taiwanensis	FIRDI 006T
plant associated	not indicated	no	Rhizobium	freirei	PRF 81
other	flagella	no	Herminiimonas	glaciei	UMB49T
other	flagella	no	Marinobacter	santoriniensis	NKSG1T
soil	not indicated	yes	Sphaerisporangium	flaviroseum	YIM48771T
soil	not indicated	yes	Sphaerisporangium	album	YIM48782
marine sediment	not indicated	not indicated	Sciscionella	marina	SCSIO 00231T
seawater	flagella	not indicated	Marivita	litorea	CL-JM1T
other	flagella	not indicated	Marivita	cryptomonadis	CL-SK44T
seawater	flagella		Arcobacter	Arcobacter marinus	CL-S1
seawater	flagella	not indicated	Arcobacter	marinus	CL-S1
other	non-motile	not indicated	Maribacter	antarcticus	CL-AP4T
other	flagella	no	Neiella	marina	J221
plant associated	__motile, but unspecified structure__	no	Mesorhizobium	sangaii	SCAU7
other	__motile, but unspecified structure__	no	Comamonas	guangdongensis	CY01
soil	non-motile	no	Chryseobacterium	solincola	1YB-R12
soil	non-motile	not indicated	Tsukamurella	carboxydivorans	Y2T
__freshwater sediment (river, lake, pond__	gliding	not indicated	Lacibacter	cauensis	NJ-8T
other	not indicated	not indicated	Peptoniphilus	duerdenii	WAL 18896
other	not indicated	not indicated	Peptoniphilus	koenoeneniae	WAL 18898
soil	not indicated	yes	Streptomyces	plumbiresistens	CCNWHX13-160T
soil	__motile, but unspecified structure__	yes	Actinoplanes	xinjiangensis	03-8772T
soil	__motile, but unspecified structure__	yes	Actinoplanes	sichuanensis	03-723T
soil	flagella	no	Halomonas	fontilapidosi	5CRT
other	__motile, but unspecified structure__		Aliivibrio 	Aliivibrio finisterrensis	CMJ 11.1
other	flagella	not indicated	Aliivibrio	finisterrensis	CMJ 11.1
soil	__motile, but unspecified structure__		Ideonella	azotifigens	 1a22T 
soil	__motile, but unspecified structure__	no	Kineococcus	xinjiangensis	S2-20T
soil	not indicated	yes	Phaselicystis	flava	SBKo001T
soil	__motile, but unspecified structure__	no	Listeria	Listeria marthii	FSL S4-120
soil	__motile, but unspecified structure__	no	Listeria	marthii	FSL S4-120
other	non-motile		Lechevalieria	Lechevalieria deserti	C68
soil	non-motile	not indicated	Lechevalieria	deserti	C68
other	non-motile		Lechevalieria	Lechevalieria roselyniae	C81
soil	non-motile	not indicated	Lechevalieria	roselyniae	C81
other	non-motile	not indicated	Lechevalieria 	Lechevalieria atacamensis	c61
soil	non-motile	not indicated	Lechevalieria	atacamensis	C61
soil	flagella	no	Rhizobium	petrolearium	SL-1
hypersaline environment	flagella	no	Halomonas	vilamensis	SV325T
soil	flagella	yes	Paenibacillus	xylanexedens	B22aT
soil	flagella	yes	Paenibacillus	tundrae	A10bT
plant associated	not indicated	yes	Jishengella	endophytica	202201T
other	__motile, but unspecified structure__	no	Cellulomonas	aerilata	5420S-23
hotspring	non-motile	no	Sphingomicrobium	lutaoense	CC-TBT-3
hotspring	non-motile	no	Muricauda	lutaonensis	CC-HSB-11T
other	non-motile	no	Nesterenkonia	alba	CAAS 252T
other	__motile, but unspecified structure__	yes	Sporosalibacterium	faouarense	Sporosalibacterium faouarense
soil	flagella	yes	Sporosalibacterium	faouarense	SOL3f37
soil	flagella	yes	Sporosalibacterium	faouarense	SOL3f37T
estuarine water	__motile, but unspecified structure__	yes	Paenibacillus	aestuarii	CJ25
other	__motile, but unspecified structure__	yes	Paenibacillus 	Paenibacillus aestuarii	CJ25
other	non-motile		Terrabacter	Terrabacter aeriphilus	5414T-18
marine sediment	__motile, but unspecified structure__	no	Marinobacterium	nitratireducens	CN44T
marine sediment	__motile, but unspecified structure__	no	Marinobacterium	nitratireducens	CN44T
marine sediment	__motile, but unspecified structure__	no	Marinobacterium	sediminicola	CN47T
seawater	flagella	no	Stakelama 	pacifica	JLT832
seawater	flagella	not indicated	Oceanicola	nitratireducens	JLT1210
__freshwater sediment (river, lake, pond__	__motile, but unspecified structure__	no	Cloacibacterium	rupense	R2A-16
__freshwater sediment (river, lake, pond__	non-motile	yes	Salsuginibacillus	halophilus	halo-1
other	non-motile	yes	Salsuginibacillus 	Salsuginibacillus halophilus	halo-1
other	non-motile	no	Salisediminibacterium	halotolerans	halo-2
seawater	non-motile	no	Pigmentiphaga	litoralis	JSM 061001T
other	flagella	yes	Pontibacillus	Pontibacillus litoralis	JSM 072002
other	flagella	yes	Pontibacillus	litoralis	 JSM 072002
other	non-motile	yes	Nocardiopsis	litoralis	JSM073097T
other	non-motile	no	Jeotgalicoccus	marinus	JSM076033T
other	flagella	yes	Pontibacillus	halophilus	JSM 076056T
soil	non-motile	no	Pedobacter	glucosidilyticus	1-Feb
soil	flagella	not indicated	Methylorosula	polaris	V-022
soil	flagella	not indicated	Skermanella	xinjiangenesis	10-1-101T
other	not indicated	not indicated	Providencia	sneebia	AT
other	not indicated	not indicated	Providencia	burhodogranariea	BT
other	flagella	no	Oceanotoga	teriensis	OCT74T
marine sediment	not indicated	yes	Streptomyces	nanshensis	SCSIO 01066T
__freshwater sediment (river, lake, pond__	flagella	not indicated	Aquitalea	denitrificans	5YN1-3T
other	flagella	not indicated	Colwellia	asteriadis	KMD 002
other	__motile, but unspecified structure__		Kistimonas	Kistimonas asteriae	KMD 001
other	__motile, but unspecified structure__	not indicated	Kistimonas	asteriae	KMD 001
seawater	flagella	not indicated	Pseudidiomarina	maritima	908087T
seawater	flagella	no	Pseudidiomarina	donghaiensis	908033T
soil	flagella	yes	Bacillus	korlensis	ZLC-26T 
marine sediment	non-motile	no	Serinicoccus	profundi	Serinicoccus profundi
marine sediment	non-motile	no	Serinicoccus	profundi	Serinicoccus profundi
marine sediment	non-motile	no	Serinicoccus	profundi	MCCC 1A05965T
marine sediment	non-motile	no	Serinicoccus	profundi	MCCC 1A05965
soil	flagella	no	Dyella	soli	JS12-10T
soil	flagella	no	Dyella	terrae	JS14-6T
human - mouth	non-motile	no	Mycobacterium	insubricum	FI-06250T
soil	non-motile	not indicated	Niabella	ginsengisoli	GR10-1T
bioreactor	flagella	no	Pseudomonas	caeni	HY-14T
other	__motile, but unspecified structure__	yes	Bacillus	marmarensis	GMBE 72
other	__motile, but unspecified structure__	yes	Bacillus	marmarensis	GMBE 72
other	non-motile	no	Deinococcus 	Deinococcus aerolatus	5516T-9
other	non-motile	not indicated	Deinococcus	aerolatus	5516T-9
other	non-motile		Deinococcus	Deinococcus aerophilus	5516T-11
other	non-motile	not indicated	Deinococcus	aerophilus	5516T-11
other	__motile, but unspecified structure__	not indicated	Campylobacter	avium	86/06T
hotspring	__motile, but unspecified structure__		Thiomonas	islandica	Thiomonas islandica
hotspring	__motile, but unspecified structure__	not indicated	Thiomonas	islandica	6C
hotspring	__motile, but unspecified structure__	not indicated	Thiomonas	islandica	6CT
hotspring	__motile, but unspecified structure__	no	Hydrogenophilus	islandicus	16CT
hotspring	__motile, but unspecified structure__		Hydrogenophilus	islandicus	Hydrogenophilus islandicus
other	not indicated	not indicated	Cryptococcus	agrionensis	CRUB 1317
other	non-motile	yes	Actinomadura	keratinilytica	WCC-2265T
seawater	flagella	not indicated	Marispirillum	indicum	B142T
hotspring	non-motile	not indicated	Thiothrix	lacustris	 BLT
hotspring	non-motile	not indicated	Thiothrix	lacustris	 BLT
hotspring	non-motile	not indicated	Thiothrix	caldifontis	G1T
other	non-motile	no	Vitellibacter	aestuarii	JC2436
soil	not indicated	yes	Nocardia	iowensis	NRRL 5646T
seawater	flagella	not indicated	Oceanibaculum	indicum	P24T
hypersaline environment	not indicated	not indicated	Haloglycomyces	albus	YIM92370T
__freshwater sediment (river, lake, pond__	__motile, but unspecified structure__	no	Paracoccus	chinensis 	KS-11T
other	non-motile	no	Geobacter	Geobacter daltonii	FRC-32
other	not indicated	no	Geobacter	daltonii	FRC-32
other	flagella	no	Arcobacter	mytili	F2075T
soil	__motile, but unspecified structure__	no	Enterobacter	arachidis	Ah-143
soil	__motile, but unspecified structure__	no	Enterobacter	arachidis	Ah-143
other	gliding	no	Flavobacterium	glycines	Gm-149
soil	non-motile	no	Mucilaginibacter	gossypii	Gh-67
soil	non-motile	no	Mucilaginibacter	gossypiicola	Gh-48
soil	flagella	no	Duganella	sacchari	Sac-22
plant associated	flagella	no	Duganella	radicis	Sac-41
bioreactor	non-motile	no	Sphingobium	lactosutens	DS20T
__freshwater sediment (river, lake, pond__	non-motile	not indicated	Elstera	litoralis	Dia-1
other	__motile, but unspecified structure__	not indicated	Azospirillum 	thiophilum	BV-S
food product	non-motile	no	Lactobacillus	kimchicus	DCY51T
__freshwater (river, lake, pond)__	non-motile	no	Dehalogenimonas	lykanthroporepellens	BL-DC-9T
__freshwater (river, lake, pond)__	flagella	no	Chitinilyticum	litopenaei	c1T
soil	flagella	no	Frateuria	terrea	VA24T
soil	non-motile	not indicated	Adhaeribacter	terreus	DNG6T
soil	flagella		Sphingomonas	Sphingomonas changbaiensis	V2M44
soil	flagella	not indicated	Sphingomonas	changbaiensis	V2M44
other	not indicated	yes	Streptomyces	axinellae	Pol001T
soil	non-motile	not indicated	Dokdonella	soli	KIS28-6T 
other	non-motile	no	Belliella	pelovolcani	CC-SAL-25T
__freshwater sediment (river, lake, pond__		no	Thiobacillus	thiophilus	D24TNT
other	flagella	no	Phocaeicola	abscessus	7401987T
marine sediment	axial filament	yes	Marinactinospora	thermotolerans	SCSIO 00652T
other	flagella	not indicated	Legionella	nagasakiensis	CDC-1796-JAP-E
other	non-motile	not indicated	Thermus	composti	K-39
soil	not indicated	not indicated	Actinopolymorpha	alba	YIM 48868T
other	non-motile	no	Staphylococcus	Staphylococcus massiliensis	5402776
other	non-motile	no	Staphylococcus	massiliensis	5402776
other	flagella	yes	Oceanobacillus	neutriphilus	A1g
other	__motile, but unspecified structure__	yes	Gracilibacillus 	Gracilibacillus ureilyticus	MF38
soil	__motile, but unspecified structure__	yes	Gracilibacillus	ureilyticus	MF38
bioreactor	flagella	not indicated	Thioalkalivibrio	sulfidiphilus	HL-EbGr7
soil	flagella	no	Patulibacter	ginsengiterrae	P4-5
