Habitat	motility	spore production	Genus name	species name	strain name
soil	non-motile	yes	Microbacterium	ginsengiterrae	DCY37
soil	non-motile	not indicated	Microbacterium	lindanitolerans	MNA2
other	not indicated	not indicated	Staphylococcus	microti	4005-LJ(m)
soil	__motile, but unspecified structure__	yes	Cohnella	thailandensis	S1-3
soil	non-motile	not indicated	Pontibacter	xinjiangensis	311-10
marine sediment	non-motile	no	Aeromicrobium	halocynthiae	KME 001
other	non-motile	not indicated	Siphonobacter	aquaeclarae	P2
other	__motile, but unspecified structure__	no	Aeromonas	taiwanensis	A2-50
food product	flagella	yes	Allobacillus	halotolerans	B3AT
__freshwater (river, lake, pond)__	non-motile	no	Terrimonas	aquatica	RIB1-6
seawater	__motile, but unspecified structure__		Endozoicomonas	Endozoicomonas montiporae	CL-33
other	flagella	yes	Virgibacillus	byunsanensis	ISL-24
marine sediment	gliding	no	Meridianimaribacter	flavus	NH57N
other	non-motile	no	Sphingobium	faniae	JZ-2
other	non-motile		Pseudoruegeria 	Pseudoruegeria lutimaris	HD-43
other	flagella	yes	Terribacillus	aidingensis	YI7-61
seawater	flagella	not indicated	Pseudoalteromonas	lipolytica	LMEB 39
soil	non-motile	not indicated	Micrococcus	terreus	V3M1
soil	non-motile	not indicated	Agrococcus	terreus	DNG5
hotspring	__motile, but unspecified structure__	yes	Thermolongibacillus	Thermolongibacillus kozakliensis	E173a
soil	flagella	no	Alkalibaculum	bacchi	CP11
hypersaline environment	non-motile	no	Prauserella	flava	YIM 90630T
hypersaline environment	non-motile	no	Prauserella	flava	YIM 90630T
hypersaline environment	non-motile	not indicated	Prauserella	sediminis	YIM 90694T
other	flagella	no	Dongia	mobilis	LM22
soil	not indicated	yes	Streptomyces	iranensis	HM 35
other	__motile, but unspecified structure__	no	Mesorhizobium 	Mesorhizobium alhagi	 CCNWXJ12-2
other	non-motile	no	Pseudoclavibacter	chungangensis	CAU 59
soil	non-motile	yes	Amycolatopsis	xylanica	CPCC 202699
other	flagella		Nautilia 	Nautilia nitratireducens	MB-1
other	flagella	no	Granulosicoccus 	Granulosicoccus coccoides	Z 271
other	non-motile	not indicated	Haloterrigena	daqingensis	JX313
other	flagella	no	Shewanella	xiamenensis	S4
soil	__motile, but unspecified structure__	no	Sphingopyxis	soli	BL03
soil	non-motile	not indicated	Acidovorax	soli	BL21
soil	__motile, but unspecified structure__	no	Rhodanobacter 	soli	DCY45
other	non-motile	not indicated	Kocuria	atrinae	P30
other	not indicated	no	Actinomyces	hominis	1094
__freshwater sediment (river, lake, pond__	non-motile	no	Erythrobacter	nanhaisediminis	T30
food product	non-motile	not indicated	Kushneria	sinocarnis	Z35
other	gliding		Bizionia	Bizionia echini	KMM 6177
seawater	non-motile	not indicated	Pseudidiomarina	aestuarii	KYW314
other	non-motile	yes	Nocardia	callitridis	CAP290
soil	__motile, but unspecified structure__	yes	Cellulosibacter	Alkalithermophilus	A6
other	non-motile	not indicated	Prevotella	saccharolytica	 D033B-12-2
other	non-motile		Roseivivax 	Roseivivax lentus	S5-5
seawater	gliding	no	Olleya	Olleya aquimaris	L-4
food product	__motile, but unspecified structure__	not indicated	Vibrio	casei	WS 4539
other	__motile, but unspecified structure__	not indicated	Vibrio	casei	WS 4539
other	flagella	not indicated	Massilia	jejuensis	5317J-18
soil	__motile, but unspecified structure__	yes	Dactylosporangium	luteum	BK51
other	non-motile	not indicated	Amorphus	orientalis	YIM D10
other	flagella	not indicated	Caldithrix	palaeochoryensis	MC
other	__motile, but unspecified structure__	yes	Alicyclobacillus	aeris	ZJ-6T
other	__motile, but unspecified structure__		Marichromatium	Marichromatium fluminis	JA418
other	non-motile	no	Actinomadura	scrupuli	R-Ac121
other	not indicated	no	Moraxella	porci	SN9-4M
other	non-motile	no	Pseudofulvimonas 	gallinarii	Sa15
other	non-motile	no	Paenochrobactrum	gallinarii	Sa25
__freshwater (river, lake, pond)__	non-motile	not indicated	Cecembia	lonarensis	LW9
seawater	flagella	not indicated	Haliea	mediterranea	7SM29
other	non-motile	no	Chryseobacterium	arthrosphaerae	CC-VM-7
NA	not indicated	yes	Streptomyces	tacrolimicus	ATCC 55098T
other	non-motile	no	Camelimonas	lactis	M 2040
soil	__motile, but unspecified structure__	no	Cupriavidus	pampae	CPDB6
soil	non-motile	not indicated	Methylocapsa	aurea	KYG
